IP Address,Device Label
192.168.241.2,VMHA02
192.168.241.1,VMHA01
192.168.241.169,Server Monitoring
161.139.246.239,MIS DC
161.139.246.159,Fujitsu Tape Library DC
161.139.246.152,EMC 
161.139.246.158,Server Fujitsu DC
161.139.246.206,XenServer1
161.139.246.207,XenServer2
161.139.246.208,XenServer3
161.139.246.217,CQMS2
161.139.246.184,A8-1
161.139.246.64,A8-1 (Nas)
161.139.246.188,XenServer4
161.139.246.215,Portal/iPortal
192.168.2.253,Fortigate 3000D
192.168.2.10,SangFor (Firewall)
192.168.2.1,DMZ Switch
192.168.2.4,FortiWeb
192.168.2.7,FortiAnalyzer
192.168.241.174,ORICC/VM03
161.139.246.234,DC Controller
161.139.246.155,MPR DC
10.8.2.205,IPKVM DC
10.8.2.203,IPKVM DC
10.8.2.254,IPKVM DC
10.8.2.4,SenseTrack
192.168.2.3,DELC R320 (VMDMZ)
192.168.240.160,WUMS
192.168.240.50,VAI 1:Xen Server
192.168.240.55,VAI 2:Xen App
161.139.246.62,161.139.246.62
10.8.201.205,RECESS
10.8.201.207,NAS1
10.8.201.220,10.8.201.220
161.139.240.65,161.139.240.65
161.139.246.240,NAS2
161.139.246.189,161.139.246.189
161.139.246.61,PTj Web Hosting
161.139.240.66,161.139.240.66
161.139.240.63,161.139.240.63
161.139.246.241,NAS3
161.139.246.246,vsa.uthm.edu.my
161.139.246.46,freenas.uthm.edu.my
161.139.246.142,VMX15
10.8.47.217,IPKVM DRC C14
10.8.47.209,10.8.47.209
192.168.240.24,192.168.240.24
192.168.240.25,192.168.240.25
192.168.240.21,192.168.240.21
10.8.201.215,10.8.201.215
192.168.240.22,192.168.240.22
192.168.240.23,192.168.240.23
10.8.47.219,10.8.47.219
192.168.240.20,192.168.240.20
161.139.246.110,161.139.246.110
10.8.47.220,10.8.47.220
161.139.246.221,appsrv1.uthm.edu.my
161.139.240.64,161.139.240.64
161.139.246.243,161.139.246.243
10.8.201.165,10.8.201.165
10.8.201.166,10.8.201.166
10.8.201.179,ISPYHEPKAFE
10.8.201.130,CCTVTEST01
10.8.201.151,10.8.201.151
10.8.201.157,10.8.201.157
10.8.201.196,ISPYPRO05
10.8.2.31,F6-DS-ORICC
10.8.2.32,F6-ORICC-1st-Floor
161.139.240.95,PPAWEBAPP
10.8.3.22,C13
10.8.3.174,Wing G2-FKMP
10.8.3.5,A2-PNC-HubunganIndustri
10.8.3.7,Blok_A4_2nd_Switch
10.8.3.35,C2-2nd
10.8.3.28,B1-MKPTM2
10.8.3.36,C10_Mkml_Kej_Elektri-1
10.8.3.39,C11
10.8.3.10,C12-MkmlKimia
10.8.3.33,C6-Makmal-Mekanikal-1
10.8.3.37,C9
10.8.3.72,D9_Pej_Am_PPH
10.8.3.49,E12-Makmal-Komputer
10.8.3.34,E2
10.8.3.56,E6
10.8.3.71,F2-PPA-GrdFlr
10.8.3.4,FKAASBlockBGrndFloor
10.8.3.166,G1-EE-SVR-C
10.8.3.154,G2-079a-WingE
10.8.3.156,G2-Wing_F
10.8.3.158,G2-WingH
10.8.3.181,G3-A-GFloor
10.8.3.176,G7-ORRiC
10.8.3.115,KabinPalapes
10.8.3.116,SUKSIS-SISPA
10.8.3.117,E16_GrdFlr
10.8.3.157,G2_Wing_G
192.168.6.23,Author
10.100.141.31,Author Hypergrid
10.8.3.233,Taska Hikmah
10.9.4.15,BCB-B-CEFM
10.9.4.16,BCB A102-02
10.8.3.111,KK_Perwira_Blok_M
10.9.4.2,BCB-B-001-B
10.9.4.3,BCB_B-014-A
10.9.4.4,BCB_A-101-02
10.9.4.6,BCB_B-003
10.9.4.9,BCB_Mkml_Kom_PTM
10.9.4.11,BCB_B-103-01
10.9.4.13,BCB_B-105-01
10.9.4.14,BCB_B-106-02
10.9.4.18,BCB_A-109-02
10.9.4.251,BCB_B-201-02
10.8.3.29,Pencawang_Masuk_Utama
10.8.3.164,FKEE-G1-Bilik MDF - G1-016
10.8.3.165,Lib-3-Blkg Lif
10.8.3.172,DS-G2 (Wing F)
10.8.5.238,Aruba7220_Controller (Blok C2)
192.168.241.4,Server VM HA4
192.168.241.5,Server VM HA5
10.8.3.80,D1-000 (Grnd Floor)-Blok Pensyarah
10.8.2.41,G1-061A-FKEE WING A
10.8.2.23,10.8.2.23
10.8.2.57,Oricc-L2-SW1-0
10.8.2.28,10.8.2.28
10.8.2.58,Oricc-L3-SW1-0
10.8.2.59,Oricc-L4-SW1-0
10.8.3.84,KKP-A-Pejabat
10.8.3.89,KK-PerwiraH-Lab
10.8.3.112,KK-Perwira-N
10.8.3.160,DSI-Blkg-48port
10.8.3.113,KKPerwira-Blok-G
10.8.3.110,KK-Perwira-K
10.8.3.159,ServerRack7_10G A5
10.8.3.221,HPE-IMC
10.8.2.206,FSKTM-Disti-1
10.8.2.207,FSKTM-Disti-2
10.8.2.208,FPTV-Disti-1
10.8.2.209,FPTV-Disti-2
10.8.2.210,FKAAS-Disti-1
10.8.2.211,FKAAS-Disti-2
10.8.2.212,Library-Disti-1
10.8.2.213,Library-Disti-2
10.9.4.30,Makmal_Blok_A-001
10.8.2.33,Oricc-L1-SW1-0
10.60.35.208,C11-KabinPemandu
10.8.3.73,D13-PejabatLestari
10.8.2.64,10.8.2.64
10.9.4.7,BCB BLOK-A-004-A BK2
10.9.4.26,10.9.4.26
10.8.2.86,10.8.2.86
10.8.2.87,10.8.2.87
10.8.3.254,CoreSW>A5-C2-LIB-FSKTM
10.8.2.230,10.8.2.230
10.8.2.84,10.8.2.84
10.8.46.117,Sangfor Firewall
10.10.11.5,FKAAB-Block_B_GrndFloor
10.10.11.10,L-U-11(WC02)GF
10.10.11.1,4thFlr_Blkg_Lif_SmartRate_POE
10.10.11.2,WC10_4thFlrL-SmartRate_POE
10.10.11.9,L-U-27(WC01)GF_BlkgLif
10.10.11.4,KK_Perwira_H_Gfloor
10.10.11.3,L-U1-14(WC04)1stFlr
10.10.11.12,E6
10.10.11.7,UCiTV-DSI-SmartRate
10.10.11.13,B1
10.10.11.14,fptv_KC_2ndfloor
10.10.11.11,F6
10.8.2.46,KK-Perwira-A-Sw2
10.8.2.49,10.8.2.49
10.8.2.62,FKAABtoKKPerwira
10.10.11.15,Masjid-UTHM
10.10.11.8,DSI-SmartRate
10.10.11.16,KKTDI-D
10.10.11.18,KKTDI-B
10.10.11.19,KKTDI-A
10.10.11.17,KKTDI-C
10.10.11.80,10.10.11.80
10.8.2.129,KKTSN-L1-B
10.8.5.212,Wireless Controller (new)
10.8.5.211,Mobility Master (Examedia)
10.8.5.213,Mobility Master (DORSB)
10.10.10.19,C4_Dewan_Fasiliti_Sukan
10.8.2.130,KKTSN-L1-A
10.8.3.17,10.8.3.17
10.8.3.180,G3-Dist-KDK-A-GrdFlr
10.8.3.183,G3B-FLOOR-GF
10.8.3.184,G3B-FLOOR-1
10.10.10.20,G3A-GFLOOR
10.10.10.21,G3A-FLOOR-1
10.10.11.20,Aruba6200-L2-Oricc
10.8.2.67,Stor Simpanan Sisa Terjadual
10.10.11.27,G-Digital_AS
10.10.11.180,A1-DTMI
10.10.11.175, A1-DTMI-PoE
10.10.11.173,A4-POE
10.8.3.13,A4-BilikMesyuarat
10.8.3.8,A6-PejabatKeselamatan-Rack1
10.8.3.201,C2-BILIK-SERVER-DISTI
10.8.3.67, A8-Stadium
10.10.11.160, A8-Stadium-POE
10.10.11.100,A5-BILIK-SERVER-POE
10.8.3.32,B1-MKML-PTM4-BK15
10.8.2.55,SmartClassRoom_B1
10.8.3.19,B1-MkmlPTM1
10.8.3.44,B1-Makmal-Bahasa-1StFloor
10.8.3.9,B6-BilikSeminar
10.8.2.20,Inventori_PTM
10.10.11.170, C10-POE
10.10.11.169,C11-POE
10.10.11.181,C12-MkmlKimia
10.8.3.24, C14A_Galeri_Ilmu
10.8.3.123,Makmal_Aerodinamik_E10-002
10.8.3.52,E10-103-02-Mkml-Automasi-Kawalan
10.10.11.155,E10-103-02-Mkml-Automasi-Kawalan
10.10.11.158,E16_GrdFlr-POE
10.10.11.182, E16_GrdFlr
10.8.3.118,E16-205-Pejabat-Pendaftar-2NdFlo
10.10.11.156,E16-205-Pejabat-Pendaftar-2NdFlo
10.8.3.220, E16-305-Pejabat-Pendaftar-3rdFl
10.8.3.119,E16-305-Pejabat-Pendaftar-3rdFlo
10.8.3.55,E17-Mkl-Struktur-Ringan
10.8.3.47, E03-002-Bilik-Pensyarah
10.8.3.46,E05-002-Bilik-Pensyarah
10.8.3.48,E07-002-02-Penerbit
10.10.11.154,E07-002-02-Penerbit-POE
10.8.3.77,E7-FKEE
10.10.11.171,F2-PPA-GrdFlr-POE
10.8.3.42,F4-Pusat-Keserasian-Elektromagne
10.8.3.177,FKMP-G2-Wing-G-G2-027A-&-CADCAM2
10.8.3.101,G4-KKTDI-MDF
10.8.3.102,G4-KKTDI1StFloor
10.8.3.103,G4-KKTDI-AB
10.8.3.104,G4-KKTDI-CD
10.10.11.184,G5-KKTF-MDF-G5-002
10.8.3.106,G5-KKT1StFloor-G5-102-02
10.8.3.107,G5-KKTF-AB-G5-AB-203
10.8.3.108,G5-KKTF-CD-G5-CD-203
10.8.3.189,KA-001-07-FPTV-GrdFloor
10.10.11.140,KA-001-07-FPTV-GrdFloor-POE
10.8.3.190,FPTV-BlockA-1stFloor
10.10.11.141,KA-402-01-FPTV-4thFloorBilikICT-
10.8.3.197,KC-011-FPTV-GrndFloor-1
10.8.3.191,FPTK-BlockA-2ndFloor
10.8.3.192,FPTV-BlockA-3rdFloor
10.8.3.194, KP-FPTV-BlockA-5thFloor
10.8.3.195,KB-FPTV-GrndFloor
10.8.3.196,KB-101-01-FPTV-1stFloorBilikICT
10.8.2.11,KC-FPTV-1stFloorPusat-Sumber
10.8.3.198,KC-110-FPTV-1stFloorBilikICT
10.8.2.221,QB-FKEE-026-GrndFloor
10.10.11.149, KC-110-FPTVB.ICT-1stFloor-PoE
10.8.3.199,KC-210-02-FPTVB.ICT-2ndFloor
10.10.11.150, KC-210-02-FPTVB.ICT-2ndFloor-Po
10.10.11.162,M-FKAABBlokB-1stFloor-PoE
10.10.11.163,M-FKAABBlokC-1stFloor-PoE
10.10.11.164,M-FKAABBlokA-1stFloor-PoE
10.10.11.165,P-FSKTM-1stFloor-PoE
10.10.11.166, P-FSKTM-2ndFloor-PoE
10.10.11.167,P-FSKTM-3rdFloor-PoE
10.8.2.63,L-PosKeselamatanLibrary
10.8.3.18,QA-Disti
10.8.2.220,QB-Disti
10.10.11.188,QB-026-FKEE-GrndFloor-2
10.10.11.151,QB-026-FKEE-GrndFloor-PoE
10.8.2.222,QB-114-01-FKEEB.ICT-1stFloor-1
10.8.2.223,QB-210-01-FKEEB.ICT-2ndFloor
10.8.2.231, RU-25-DSIBelakang
10.8.3.87, RECESS-1
10.8.2.158, S-001A-03-PPHBTasik
10.10.11.189,QB-114-01-FKEEB.ICT-1stFloor-2
10.10.11.153,QB-210-01-FKEEB.ICT-2ndFloor-PoE
10.10.11.152,QB-114-01-FKEEB.ICT-1stFloor-PoE
10.10.11.178, RECESS-2
10.10.11.139,S-001A-03-PPHBTasik-PoE
10.8.3.250,B3-E6-Disti
10.8.3.248,B3-E6-Disti
10.10.11.187,KC-011-FPTV-GrndFloor-2
10.10.11.183,G3A-102-06-KDK-1stFloor
10.10.11.161, B6-B.Seminar-PoE
10.10.11.185, C15-PoE
10.10.11.186,C16-PoE
10.10.11.101,C2-B.Server-PoE
10.10.11.176,D15-Alumni-PoE
10.10.11.142,KA-202-01-FPTVB.ICT-2ndFloor-PoE
10.10.11.143,KA-302-01-FPTVB.ICT-3rdFloor-PoE
10.10.11.144,KA-402-01-FPTVB.ICT-4thFloor-PoE
10.10.11.145,KA-502-01-FPTVB.ICT-5thFloor-PoE
10.10.11.146,KB-FPTV-GrndFloor-PoE
10.10.11.147,KB-101-01-FPTVB.ICT-1stFloor-PoE
10.10.11.148,KC-011-FPTV-GrndFloor-PoE
10.8.3.76,D2-007-02-Pej.KKTSN
10.8.3.50,E9-102-01-M.KerjaAwam
10.8.3.155,G1-FKEEWingA-M.SenibinaKomputer
10.8.3.31,B1-017-MKPTM3
10.8.3.193,KA-402-01-FPTVB.ICT-4thFloor
10.10.11.159,D2-Pej.KKTSN-PoE
10.10.11.168,C6-B.PersediaanMengajar-PoE
10.8.3.167, A6-PosKeselamatan
10.8.3.97,F3-Pst-Khidmat-Pljr-H3C S5170
10.8.3.38,F2-Bilik Jubah - H3C S5170
10.8.3.152,C15-FirstFloor-H3C S5170
10.8.3.43,B4-Surau-KKTSN-H3C S5170
10.8.3.27,Bilik ServerC2-H3C S5170
10.8.3.150,C17-FirstFloor-H3C S5170
10.8.2.47,G1-WING-C-H3C S5170
10.8.3.153,C17-GroundFloor-H3C S5170
10.8.3.171,C15-GndFloor-H3C S51
10.8.2.219,G1-WING-A-H3C S5170
10.8.2.42,G1-WING-B-S5170
10.8.2.60,G2-WING-G-H3C S5170
10.8.3.70,D15-Pej-Alumni-H3C S5170
10.8.2.48,G1-WING-D-H3C S5170
10.8.2.61,G2-WING-H-H3C S5170
10.8.3.74,D14-PstPercetakan-H3C S5170
10.8.3.90,D15A-PKU2-H3C S5170
10.8.2.54,G2-WING-F-H3C S5170
10.8.3.81,B3-Pusat Waqaf&Endowmen-S5170
10.8.2.53,G2-WING-E-H3C S5170
10.8.3.151,C16-FirstFloor-H3C S5170
10.8.3.170,C16-GroundFloor-H3C S5170
10.8.3.75,D8-Pusat-Sukan-H3C S5170
10.8.3.239,A10-FirstFloor-H3C S5170
10.8.3.237,A10-Bawah-H3C S5170
10.8.3.92,D1-ThirdFloor-H3C S5170
10.5.7.252,CS-Pagoh
10.6.0.254,CS-KKPagoh
10.8.3.100,KKTDI-KKTF-Disti_2
10.10.11.122,G1_WING_C_L1_AS01
10.10.11.126, G2_WING_E_L1_AS01
10.10.11.129,G2_WING_G_L1_AS01
10.10.11.119,G1_WING_B_L1_AS01
10.10.11.125, G1_WING_D_L1_AS02
10.10.11.124, G1_WING_D_L1_AS01
10.10.11.133,G4_PEJ_L1_AS02
10.10.11.105,G4_CAFÉ_LG_AS01
10.10.11.131,G2_WING_H_L1_AS01
10.10.11.127, G2_WING_E_L1_AS02
10.10.11.116, G9_BIODIESEL_L1_AS01
10.10.11.115,G8_ENVIROLAB_L1_AS01
10.10.11.113, G7_KANZO_L1_AS01
10.10.11.130,G2_WING_G_L1_AS02
10.10.11.106,G4_PEJ_L1_AS01
10.10.11.117, G1_WING_A_L1_AS01
10.10.11.136,G1_WING_H_L1_AS02
10.10.11.134,G5_BLOK_AB_L1_AS02
10.10.11.137,G2_WING_F_L1_AS02
10.10.11.135,G5_PEJ_L1_AS02
10.10.11.118,G1_WING_B_L1_AS02
10.10.11.112,G5_BLOK_CD_L1_AS01
10.10.11.123,G1_WING_C_L1_AS02
10.10.11.111,G5_BLOK_AB_L1_AS01
10.10.11.109,G5_CAFÉ_LG_AS01
10.10.11.128,G2_WING_F_L1_AS01
10.10.11.110,G5_PEJ_L1_AS01
10.100.0.4,BILIK_ICT_BLOK_A
10.100.0.6,RUMAH_VIP_AS01
10.100.0.7,ASRAMA_LAVENDER_AS01
10.100.0.5,ASRAMA_JASMIN_AS01
