name,ip_address,category,status,location,brand
KC-FPTV-1stFloorPusat Sumber FPTV,10.8.2.11,switches,unknown,,
HEPA Main Switch,10.8.2.19,switches,unknown,,
C1-FIB,10.8.2.20,switches,unknown,,
Relasis Pejabat,10.8.2.21,switches,unknown,,
HEPA Access Switch,10.8.2.27,switches,unknown,,
Cafe Main Switch,10.8.2.29,switches,unknown,,
Cafe Access Switch,10.8.2.30,switches,unknown,,
F6 Disti Main Switch Oricc,10.8.2.31,switches,unknown,,
F6 Gfloor Oricc,10.8.2.32,switches,unknown,,
F6 1stFloor Oricc,10.8.2.33,switches,unknown,,
Mkml Komp3 - Blok C 1st Floor,10.8.2.34,switches,unknown,,
Yayasan UTHM Library Gfloor (bilik kaca),10.8.2.39,switches,unknown,,
E POE,10.8.2.40,switches,unknown,,
PPUK Kabin Depan Relasis,10.8.2.41,switches,unknown,,
C,10.8.2.44,switches,unknown,,
D,10.8.2.45,switches,unknown,,
A POE L1 (room A2-05),10.8.2.46,switches,unknown,,
UBNT Master FKAAB(C) to KKP(H),10.8.2.49,switches,unknown,,
UBNT Remote KKP(H) to FKAAB(C)Ping:,10.8.2.50,switches,unknown,,
B1-Bilik Seminar Dpn MKPTM2,10.8.2.55,switches,unknown,,
Kolam Renang,10.8.2.56,switches,unknown,,
F6 2ndFloor Oricc,10.8.2.57,switches,unknown,,
F6 3rdFloor Oricc,10.8.2.58,switches,unknown,,
F6 4thFloor Oricc,10.8.2.59,switches,unknown,,
Pos Kawalan 4 Depan Masjid,10.8.2.63,switches,unknown,,
B SW2,10.8.2.64,switches,unknown,,
Stor Kimia,10.8.2.67,switches,unknown,,
G5A POE KKTF Switch 1st Floor,10.8.2.86,switches,unknown,,
G5B POE KKTF Switch 1st Floor,10.8.2.87,switches,unknown,,
G5C POE KKTF Switch 1st Floor,10.8.2.88,switches,unknown,,
G5D POE KKTF Switch 1st Floor,10.8.2.89,switches,unknown,,
PPP Pembangunan,10.8.2.110,switches,unknown,,
D2-Asrama TSN 1stFloor POE,10.8.2.129,switches,unknown,,
D3-Asrama TSN 1stFloor POE,10.8.2.130,switches,unknown,,
PPP Penyelengaraan,10.8.2.158,switches,unknown,,
Cambium Master FKAAB(A) to KKP(H),10.8.2.169,switches,unknown,,
Cambium Remote KKP(H) to FKAAB(A)Ping:,10.8.2.170,switches,unknown,,
A6 Pos Pengawal Remote UBNT -,10.8.2.173,switches,unknown,,
A6 Pos Pengawal Master UBNT -,10.8.2.174,switches,unknown,,
R3 A5,10.8.2.204,switches,unknown,,
Disti FSKTM GFloor,10.8.2.206,switches,unknown,,
Disti FSKTM GFloor,10.8.2.207,switches,unknown,,
Disti FKAAB BlokA-Gfloor,10.8.2.210,switches,unknown,,
Disti FKAAB BlokA-Gfloor,10.8.2.211,switches,unknown,,
Disti Perpustakaan 2nd Floor BigStage,10.8.2.212,switches,unknown,,
Disti Perpustakaan 2nd Floor Blkg LifPing:,10.8.2.213,switches,unknown,,
A LAN & POE,10.8.2.217,switches,unknown,,
Disti FKEE QB,10.8.2.220,switches,unknown,,
QB-Gfloor,10.8.2.221,switches,unknown,,
QB-1st Floor,10.8.2.222,switches,unknown,,
QB-2nd Floor,10.8.2.223,switches,unknown,,
R5 A5,10.8.2.224,switches,unknown,,
R3 C2,10.8.2.225,switches,unknown,,
R2 C2,10.8.2.226,switches,unknown,,
R14-1 C2,10.8.2.227,switches,unknown,,
DSI UCiTV,10.8.2.230,switches,unknown,,
DSI Belakang,10.8.2.231,switches,unknown,,
R1 A5,10.8.2.233,switches,unknown,,
R8 A5,10.8.2.234,switches,unknown,,
R7 A5,10.8.2.235,switches,unknown,,
R3 C2,10.8.2.238,switches,unknown,,
R5 A5,10.8.2.239,switches,unknown,,
R4 A5,10.8.2.240,switches,unknown,,
R6 C2,10.8.2.245,switches,unknown,,
R14-2 C2,10.8.2.248,switches,unknown,,
R4 A5,10.8.2.249,switches,unknown,,
R1 A5,10.8.2.251,switches,unknown,,
R2 A5,10.8.2.252,switches,unknown,,
R8 A5,10.8.2.253,switches,unknown,,
Server Farm Library Rack Switch,10.8.3.2,switches,unknown,,
Disti FKAAB BlokA-Gfloor,10.8.3.3,switches,unknown,,
B Grnd Floor FKAAS (Tengah),10.8.3.4,switches,unknown,,
A2-HIM & Perundangan,10.8.3.5,switches,unknown,,
A1-DTMI,10.8.3.6,switches,unknown,,
A4 1st Floor,10.8.3.7,switches,unknown,,
A6 Pengawal Keselamatan,10.8.3.8,switches,unknown,,
B6 Bilik Seminar Kuliah,10.8.3.9,switches,unknown,,
C12-Makmal Fizik Kimia - 48x2 -,10.8.3.10,switches,unknown,,
C3 Unit Kebudayaan,10.8.3.11,switches,unknown,,
C3 Stor PKSK 10.8.3.12 Avaya,10.8.3.12,switches,unknown,,
A4-2ndFloor-Meeeting Executive,10.8.3.13,switches,unknown,,
A5 PTM,10.8.3.14,switches,unknown,,
A1-DTMI-1stFloor,10.8.3.15,switches,unknown,,
C2-CCTV Rack Server,10.8.3.16,switches,unknown,,
D4-Asrama TSN 1stFloor POE,10.8.3.17,switches,unknown,,
Disti QA-GFloor,10.8.3.18,switches,unknown,,
B1-MKPTM1,10.8.3.19,switches,unknown,,
Distribution Sw FPTP,10.8.3.20,switches,unknown,,
FSKTM Temp Sw to NDC,10.8.3.21,switches,unknown,,
C13-Makmal Bahasa Disti,10.8.3.22,switches,unknown,,
C14b-Pentas Koko,10.8.3.23,switches,unknown,,
C14a-Teater,10.8.3.24,switches,unknown,,
C8-Bilik Pensyarah,10.8.3.25,switches,unknown,,
C7-Kabin,10.8.3.26,switches,unknown,,
C2-Server Room,10.8.3.27,switches,unknown,,
B1-MKPTM2,10.8.3.28,switches,unknown,,
PMU Pencawang Masuk Utama Blkg Evegreen,10.8.3.29,switches,unknown,,
B 1stFlr FKAAS (Tengah),10.8.3.30,switches,unknown,,
B1-MKPTM3,10.8.3.31,switches,unknown,,
B1-MKPTM4,10.8.3.32,switches,unknown,,
C6 -,10.8.3.33,switches,unknown,,
E2,10.8.3.34,switches,unknown,,
C2-Server Room,10.8.3.35,switches,unknown,,
C10-Makmal FKEE,10.8.3.36,switches,unknown,,
C9-Bilik Pensyarah,10.8.3.37,switches,unknown,,
G4-AB-Switch PoE,10.8.3.38,switches,unknown,,
C11-10.8.3.39,10.8.3.39,switches,unknown,,
C2-Makmal CAD FKEE,10.8.3.40,switches,unknown,,
C2-Makmal Bahasa,10.8.3.41,switches,unknown,,
F4 Chamber Lab FKEEPing:,10.8.3.42,switches,unknown,,
B4-Surau,10.8.3.43,switches,unknown,,
B2 1st Floor Makmal Bahasa,10.8.3.44,switches,unknown,,
A 1stFlr FKAAS Block A (South East),10.8.3.45,switches,unknown,,
E5-Bilik Pensyarah E05-002,10.8.3.46,switches,unknown,,
E3-Bilik Pensyarah E03-002,10.8.3.47,switches,unknown,,
E7-Kanzu E7-002-01,10.8.3.48,switches,unknown,,
E12-Bilik Pensyarah E12-004A,10.8.3.49,switches,unknown,,
E9-Makmal RECESS E9-102-01,10.8.3.50,switches,unknown,,
E11-Bilik Pensyarah E11-004A,10.8.3.51,switches,unknown,,
E10-Makmal 1st Floor E10-103-03,10.8.3.52,switches,unknown,,
E15-Bilik Kuliah E15-001,10.8.3.53,switches,unknown,,
E14-Bilik Kuliah E14-001,10.8.3.54,switches,unknown,,
E17-Makmal Bahan FKAAB,10.8.3.55,switches,unknown,,
E6-Bilik ICT E6-002B-0,10.8.3.56,switches,unknown,,
B2 Pej. Antarabangsa,10.8.3.57,switches,unknown,,
A GrndFlr FKAAS Block A (South East),10.8.3.59,switches,unknown,,
E1 Makmal AMMC,10.8.3.60,switches,unknown,,
D7 Gfloor,10.8.3.61,switches,unknown,,
D7 2ndFloor,10.8.3.62,switches,unknown,,
QA-2nd Floor SwPing:,10.8.3.63,switches,unknown,,
D10 Unit Awam Lama,10.8.3.64,switches,unknown,,
CCTV Switch For Server Bilik Server Aras 2,10.8.3.65,switches,unknown,,
CCTV Switch For Server Gfloor Bilik Kawalan,10.8.3.66,switches,unknown,,
A8-Stadium,10.8.3.67,switches,unknown,,
F1-Makmal Kuasa F1-001-07,10.8.3.68,switches,unknown,,
A 2ndFlr FKAAS Block A (South East),10.8.3.69,switches,unknown,,
D15-Pejabat Alumni & PKU,10.8.3.70,switches,unknown,,
F2-Pejabat PPA,10.8.3.71,switches,unknown,,
D9-PPP Unit Kenderaan & Majlis,10.8.3.72,switches,unknown,,
D13-001 Pej Lestari,10.8.3.73,switches,unknown,,
D14-Unit Percetakan,10.8.3.74,switches,unknown,,
D8-Pusat Sukan D08-002 Ping:10.8.3.75,10.8.3.75,switches,unknown,,
D2-Pej TSN D02-007-02 G-Floor,10.8.3.76,switches,unknown,,
E7-Pejabat Penerbit E7-002-01,10.8.3.77,switches,unknown,,
B5-Bendahari-1stFlr,10.8.3.78,switches,unknown,,
B5-Bendahari-Gfloor,10.8.3.79,switches,unknown,,
D1-Gfloor Bilik Pensyarah,10.8.3.80,switches,unknown,,
B3-PPB-Gfloor1stsw-48x2,10.8.3.81,switches,unknown,,
Palapes Pejabat,10.8.3.82,switches,unknown,,
QA-3rd Floor SwPing:,10.8.3.85,switches,unknown,,
B,10.8.3.86,switches,unknown,,
Reccess,10.8.3.87,switches,unknown,,
A 3rdFlr FKAAS Block A (South East),10.8.3.88,switches,unknown,,
H Lab,10.8.3.89,switches,unknown,,
D16-PKU2 Ping:10.8.3.90,10.8.3.90,switches,unknown,,
F,10.8.3.91,switches,unknown,,
D1-3rdFloor Bilik Pensyarah,10.8.3.92,switches,unknown,,
E Disti Gfloor,10.8.3.93,switches,unknown,,
QA-4th Floor SwPing:,10.8.3.94,switches,unknown,,
QA-5th Floor SwPing:,10.8.3.95,switches,unknown,,
QA-6th Floor SwPing:,10.8.3.96,switches,unknown,,
F3 P.Khidmat Pelajar,10.8.3.97,switches,unknown,,
QA-7th Floor SwPing:,10.8.3.98,switches,unknown,,
G-Floor Mkml Automasi J002-A,10.8.3.99,switches,unknown,,
Disti G4 Cafe Gfloor,10.8.3.100,switches,unknown,,
G4-Gnd Cafe,10.8.3.101,switches,unknown,,
G4-1stFlr-Office,10.8.3.102,switches,unknown,,
G4-AB Blok Soikongan,10.8.3.103,switches,unknown,,
G4-CD Blok Sokongan,10.8.3.104,switches,unknown,,
G5-Gnd Cafe,10.8.3.105,switches,unknown,,
G5-1stFlr Office,10.8.3.106,switches,unknown,,
G5-AB Blok Sokongan,10.8.3.107,switches,unknown,,
G5-CD Sokongan,10.8.3.108,switches,unknown,,
J,10.8.3.109,switches,unknown,,
K,10.8.3.110,switches,unknown,,
M,10.8.3.111,switches,unknown,,
N,10.8.3.112,switches,unknown,,
G,10.8.3.113,switches,unknown,,
L,10.8.3.114,switches,unknown,,
Palapes Kabin,10.8.3.115,switches,unknown,,
Suksis Pejabat,10.8.3.116,switches,unknown,,
E16 Gfloor 1stFloor Pendaftar,10.8.3.117,switches,unknown,,
E16 2nd Floor,10.8.3.118,switches,unknown,,
E16 3rd Floor,10.8.3.119,switches,unknown,,
Disti FPTV Blok A-Gfloor,10.8.3.120,switches,unknown,,
QA-GFloor SwPing:,10.8.3.121,switches,unknown,,
QA-CCTV GFloor swPing:,10.8.3.122,switches,unknown,,
E10-002_Makmal_Aerodinamik,10.8.3.123,switches,unknown,,
Disti QA-CCTV GFloor,10.8.3.124,switches,unknown,,
QA-CCTV 1st Floor swPing:,10.8.3.125,switches,unknown,,
QA-CCTV 2nd Floor swPing:,10.8.3.126,switches,unknown,,
A 4thFlr FKAAS Block A (South East),10.8.3.127,switches,unknown,,
A 5thFlrFKAAS Block A (South East),10.8.3.128,switches,unknown,,
A 6thFlr FKAAS Block A (South East),10.8.3.129,switches,unknown,,
Disti FSKTM GFloor,10.8.3.130,switches,unknown,,
GFloor FSKTM,10.8.3.131,switches,unknown,,
1stFloor FSKTM,10.8.3.132,switches,unknown,,
2ndFloor FSKTM,10.8.3.133,switches,unknown,,
3rdFloor FSKTM,10.8.3.134,switches,unknown,,
4thtFloor FSKTM,10.8.3.135,switches,unknown,,
5th Floor FSKTM,10.8.3.136,switches,unknown,,
6th Floor FSKTM,10.8.3.137,switches,unknown,,
7th tFloor FSKTM,10.8.3.138,switches,unknown,,
A 7thFlr FKAAS Block A (South East),10.8.3.139,switches,unknown,,
A 8thFlr FKAAS Block A (South East),10.8.3.140,switches,unknown,,
Gfloor Disti Room Ping:10.8.3.141,10.8.3.141,switches,unknown,,
Gfloor Ping:10.8.3.142,10.8.3.142,switches,unknown,,
1st Floor Ping:10.8.3.143,10.8.3.143,switches,unknown,,
1st Floor Server Ping:10.8.3.144,10.8.3.144,switches,unknown,,
2nd Floor Ping:10.8.3.145,10.8.3.145,switches,unknown,,
2nd Floor Mkmal Komputer Siwazah Ping:10.8.3.146,10.8.3.146,switches,unknown,,
3rd Floor Ping:10.8.3.147,10.8.3.147,switches,unknown,,
4th Floor Ping:10.8.3.148,10.8.3.148,switches,unknown,,
C17-1stfloor,10.8.3.150,switches,unknown,,
C16-1stfloor,10.8.3.151,switches,unknown,,
C15-1stFloor,10.8.3.152,switches,unknown,,
C17-Gfloor,10.8.3.153,switches,unknown,,
G2-E,10.8.3.154,switches,unknown,,
G1-A-1st Floor Mkml Senibina Komputer,10.8.3.155,switches,unknown,,
G2-F,10.8.3.156,switches,unknown,,
G2-G,10.8.3.157,switches,unknown,,
G2-H,10.8.3.158,switches,unknown,,
R7 A5,10.8.3.159,switches,unknown,,
QA-CCTV 3rd Floor swPing:,10.8.3.161,switches,unknown,,
G1-A,10.8.3.162,switches,unknown,,
G1-B,10.8.3.164,switches,unknown,,
G1-C,10.8.3.166,switches,unknown,,
A6 Pos Kawalan,10.8.3.167,switches,unknown,,
G1-D,10.8.3.168,switches,unknown,,
D6-004a-Felo-KKTSN-POE,10.8.3.169,switches,unknown,,
C16-Gfloor,10.8.3.170,switches,unknown,,
C15-Gfloor,10.8.3.171,switches,unknown,,
G2 Disti FKMP Wing F,10.8.3.172,switches,unknown,,
G1 Disti Wing B,10.8.3.173,switches,unknown,,
G1-A-Server UCiTV,10.8.3.175,switches,unknown,,
G7-Oricc,10.8.3.176,switches,unknown,,
G2-G Makmal CADCAM2,10.8.3.177,switches,unknown,,
C2 - Inkubator,10.8.3.178,switches,unknown,,
G3 Disti A-Gfloor,10.8.3.180,switches,unknown,,
G3-A Wing Gfloor,10.8.3.181,switches,unknown,,
G3-B Wing Gfloor,10.8.3.183,switches,unknown,,
G3-B Wing 1st,10.8.3.184,switches,unknown,,
G3-B Wing 2nd,10.8.3.185,switches,unknown,,
G3-E Wing GFloor,10.8.3.186,switches,unknown,,
G3-E Wing 1st,10.8.3.187,switches,unknown,,
G3-E Wing 2nd,10.8.3.188,switches,unknown,,
