location,name,ip_address,status,response_time
A5,ArubaLab Academy FSKTM Switch,10.8.2.12,online,4
A5,fsktm server 1,10.65.201.205,offline,
A5,fsktm server 2,10.65.201.207,offline,
A5,linux server,10.65.201.21,offline,
A5,server 10.65.201.23,10.65.201.23,offline,
A5,printer hp laserjet,10.65.200.3,online,0
A5,supermicro,10.65.201.17,offline,
A5,SW Bilik Seminar 1 Infosys old,10.65.85.183,offline,
A5,SW Bilik Seminar 1 Infosys,10.8.2.51,online,2
A5,SW Makmal Inffosys,10.8.2.85,online,1
A5,windows10,10.65.201.206,offline,
A5,ansys lesen,192.168.241.229,online,3
A5,elibrary,10.8.200.4,online,1
A5,koha,10.63.200.2,offline,
A5,memory,10.8.200.10,online,0
A5,vmware 10.63.201.201,10.63.201.201,online,1
A5,vmware 10.63.201.49,10.63.201.49,online,1
A5,vmware dev,10.63.200.6,online,1
A5,10G RACK7,10.8.3.159,online,1
A5,EMC RACK A5,10.8.2.244,online,1
A5,EMS,10.8.2.4,online,1
A5,FARM,10.8.3.1,online,2
A5,R1,10.8.2.251,online,3
A5,R1-1,10.8.2.233,online,2
A5,R2,10.8.2.252,online,3
A5,R3,10.8.2.204,online,2
A5,R4,10.8.2.249,online,3
A5,R4-1,10.8.2.240,online,2
A5,R5,10.8.2.224,online,2
A5,R5-1,10.8.2.239,online,2
A5,R7,10.8.2.235,online,2
A5,R8,10.8.2.253,online,2
A5,R8-1,10.8.2.234,online,5
A5,STAGING,10.8.2.236,online,2
A5,R EMC C2,10.8.2.245,online,2
A5,R1,10.8.3.16,online,2
A5,R14,10.8.2.227,online,2
A5,R14-1,10.8.2.248,online,2
A5,R2,10.8.2.226,online,3
A5,R3,10.8.2.225,online,2
A5,R3-1,10.8.2.238,online,3
A5,DNS Server 1,10.8.2.201,online,3
A5,DNS Server 2,10.8.2.202,online,1
A5,DNS Server 3,10.8.2.82,online,1
A5,DNS Server 4,10.8.2.83,online,1
