name,ip_address,category,status,location,brand
Aras Bawah  - Tangga 1,10.8.23.208,cctv,unknown,,
Aras Bawah - Pintu Keluar 2,10.8.23.209,cctv,unknown,,
Aras Bawah - Pintu Keluar 3,10.8.23.210,cctv,unknown,,
Aras 2 - Lift,10.8.23.211,cctv,unknown,,
Aras 3 - Lift,10.8.23.212,cctv,unknown,,
Aras Bawah - Tangga 2,10.8.23.213,cctv,unknown,,
Aras 1 - Lift,10.8.23.214,cctv,unknown,,
Aras Bawah - Pintu Masuk 2,10.8.23.215,cctv,unknown,,
Aras Bawah - Server Room,10.8.23.216,cctv,unknown,,
Aras 4 - Lift,10.8.23.217,cctv,unknown,,
CCTV 1,10.8.23.227,cctv,unknown,,
CCTV 2,10.8.23.228,cctv,unknown,,
CCTV 3,10.8.23.229,cctv,unknown,,
NVR,10.8.23.230,cctv,unknown,,
DVR  2 kamera,10.8.25.128,cctv,unknown,,
C4 - Dewan Badminton,10.8.207.215,cctv,unknown,,
C4 - Stor Dewan Badminton,10.8.207.216,cctv,unknown,,
Master ATM to PPA,10.10.10.15,cctv,unknown,,
Remote ATM to PPA,10.10.10.16,cctv,unknown,,
B4 -  Masjid Lama,10.60.8.1,cctv,unknown,,
F2 - Bulatan,10.60.8.3,cctv,unknown,,
NVR,10.60.8.4,cctv,unknown,,
B5 - Office Pintu Belakang / Aras Atas,10.60.8.11,cctv,unknown,,
B5 - Office Pintu Depan / Aras Atas,10.60.8.12,cctv,unknown,,
FSTPI - Pintu Hadapan,10.60.8.13,cctv,unknown,,
FSTPI - Pintu Belakang,10.60.8.14,cctv,unknown,,
CCTV Trafik Depan Dataran Terbuka,10.60.8.15,cctv,unknown,,
D5 - TSN Kaunter Pejabat,10.60.8.18,cctv,unknown,,
E4  STOR PUSAT INDOOR PTM,10.60.8.32,cctv,unknown,,
RECESS 1,10.60.8.38,cctv,unknown,,
RECESS Office,10.60.8.39,cctv,unknown,,
RECESS Sample Lab,10.60.8.40,cctv,unknown,,
RECESS Data Lab,10.60.8.41,cctv,unknown,,
RECESS Garage,10.60.8.42,cctv,unknown,,
RECESS 2,10.60.8.43,cctv,unknown,,
F2 - Attendance PPA,10.60.8.64,cctv,unknown,,
F2  PPA Kanan,10.60.8.65,cctv,unknown,,
F2  PPA Kiri,10.60.8.66,cctv,unknown,,
A8 Pintu Masuk Kolam Renang,10.60.8.68,cctv,unknown,,
D1  TSN,10.60.8.70,cctv,unknown,,
B5  Dataran Masjid,10.60.8.73,cctv,unknown,,
B5  Pej Bendahari Tingkat Bawah tas,10.60.8.81,cctv,unknown,,
A8  Stadium,10.60.8.82,cctv,unknown,,
F2  Hadapan Bilik Cetak,10.60.8.93,cctv,unknown,,
D10  Stor PPH,10.60.8.106,cctv,unknown,,
D15- PKU,10.60.8.107,cctv,unknown,,
F1-  Foyer,10.60.8.108,cctv,unknown,,
D5 - Parkir,10.60.8.110,cctv,unknown,,
D5 - TSN Pintu Masuk,10.60.8.111,cctv,unknown,,
D5 - TSN Pintu Masuk Blok A,10.60.8.112,cctv,unknown,,
A8 Laluan Gym,10.60.8.113,cctv,unknown,,
D5 - TSN Laluan Kafeteria,10.60.8.114,cctv,unknown,,
A8 - Pakir Kolam Renang,10.60.8.115,cctv,unknown,,
E4 - Stor Pusat_PTM,10.60.8.118,cctv,unknown,,
D15 - Pintu Masuk,10.60.8.123,cctv,unknown,,
F2 Aras Atas Kanan,10.60.8.125,cctv,unknown,,
F2 Aras Atas Kiri,10.60.8.126,cctv,unknown,,
ATM - Perhentian Bas ATM 1,10.60.8.127,cctv,unknown,,
ATM - Perhentian Bas ATM 2,10.60.8.128,cctv,unknown,,
F4 -EMC,10.60.8.129,cctv,unknown,,
D5 - TSN Siswi Belakang,10.60.8.131,cctv,unknown,,
D5 - TSN Border Asrama,10.60.8.132,cctv,unknown,,
D6 - Simpang HEP,10.60.8.135,cctv,unknown,,
A8 Pejabat Sukan,10.60.31.244,cctv,unknown,,
RECESS 3 Border,10.60.31.249,cctv,unknown,,
E16 - Stor Pusat,10.61.8.1,cctv,unknown,,
Aras 2 Koridor BKB 8,10.61.8.53,cctv,unknown,,
Aras 2 Koridor BKB 9,10.61.8.54,cctv,unknown,,
Aras 1 Tangga Kiri,10.61.8.55,cctv,unknown,,
Aras 2 Tangga Kiri,10.61.8.56,cctv,unknown,,
Aras 1 Koridor  MKMLM 2,10.61.8.57,cctv,unknown,,
Aras 2 Koridor BKB 7,10.61.8.58,cctv,unknown,,
Aras 1 Koridor BKB 3,10.61.8.59,cctv,unknown,,
Aras Bawah  Koridor DKB D,10.61.8.60,cctv,unknown,,
Aras 3 Tangga Tengah,10.61.8.61,cctv,unknown,,
G1 - FKEE Pakir 2,10.61.8.62,cctv,unknown,,
Aras 2 Koridor  BKE10,10.61.8.63,cctv,unknown,,
E16 - Pakir Bangunan Gunasama,10.61.8.65,cctv,unknown,,
Aras 1 Koridor DKB D,10.61.8.66,cctv,unknown,,
Aras 1 Tangga Kanan,10.61.8.67,cctv,unknown,,
Aras Bawah Koridor DKB C,10.61.8.68,cctv,unknown,,
Aras 1 Tangga Tengah,10.61.8.69,cctv,unknown,,
Aras Bawah Koridor BK-B1,10.61.8.70,cctv,unknown,,
Aras Bawah Laluan Blok B-A,10.61.8.71,cctv,unknown,,
Aras 1 Koridor BKB 6,10.61.8.72,cctv,unknown,,
Blok D Tengah,10.61.8.73,cctv,unknown,,
Blok D Belakang,10.61.8.74,cctv,unknown,,
Aras Bawah G3 Foyer,10.61.8.75,cctv,unknown,,
Aras 1 Koridor  DKBA,10.61.8.76,cctv,unknown,,
Aras 2 Koridor  BKE7,10.61.8.77,cctv,unknown,,
Aras 1 Koridor  BKE6,10.61.8.78,cctv,unknown,,
